"Comunidad","Provincia","Municipio","Población","Latitud","Longitud"
"País Vasco","Araba/Álava","Alegría-Dulantzi",2971,42.84149,-2.513507
"País Vasco","Araba/Álava","Amurrio",10330,43.05265,-3.001022
"País Vasco","Araba/Álava","Aramaio",1381,43.054,-2.566
"País Vasco","Araba/Álava","Artziniega",1856,43.1222,-3.128209
"País Vasco","Araba/Álava","Armiñón",247,42.72305,-2.872574
"País Vasco","Araba/Álava","Asparrena",1611,42.89567,-2.321
"País Vasco","Araba/Álava","Ayala/Aiara",2942,43.08333,-3.063056
"País Vasco","Araba/Álava","Baños de Ebro/Mañueta",291,42.53029,-2.679144
"País Vasco","Araba/Álava","Barrundia",879,42.91669,-2.491817
"País Vasco","Araba/Álava","Berantevilla",459,42.68245,-2.860401
"País Vasco","Araba/Álava","Bernedo",546,42.62669,-2.497532
"País Vasco","Araba/Álava","Campezo/Kanpezu",1085,42.69194,-2.37
"País Vasco","Araba/Álava","Zigoitia",1844,42.9682,-2.7183
"País Vasco","Araba/Álava","Kripan",178,42.59167,-2.516079
"País Vasco","Araba/Álava","Kuartango",408,42.87139,-2.885556
"País Vasco","Araba/Álava","Elburgo/Burgelu",642,42.84956,-2.544762
"País Vasco","Araba/Álava","Elciego",955,42.51507,-2.618277
"País Vasco","Araba/Álava","Elvillar/Bilar",319,42.5705,-2.544915
"País Vasco","Araba/Álava","Iruraiz-Gauna",553,42.82207,-2.495043
"País Vasco","Araba/Álava","Labastida/Bastida",1565,42.59042,-2.793166
"País Vasco","Araba/Álava","Lagrán",170,42.6264,-2.58382
"País Vasco","Araba/Álava","Laguardia",1478,42.55428,-2.584237
"País Vasco","Araba/Álava","Lanciego/Lantziego",685,42.56262,-2.513204
"País Vasco","Araba/Álava","Lapuebla de Labarca",859,42.49467,-2.575167
"País Vasco","Araba/Álava","Leza",210,42.56607,-2.633635
"País Vasco","Araba/Álava","Laudio/Llodio",17982,43.14333,-2.962985
"País Vasco","Araba/Álava","Arraia-Maeztu",822,42.73981,-2.44598
"País Vasco","Araba/Álava","Navaridas",191,42.54517,-2.624532
"País Vasco","Araba/Álava","Okondo",1194,43.16222,-3.018889
"País Vasco","Araba/Álava","Oyón-Oion",3413,42.50614,-2.436965
"País Vasco","Araba/Álava","Peñacerrada-Urizaharra",302,42.6441,-2.713375
"País Vasco","Araba/Álava","Erriberagoitia/Ribera Alta",845,42.71577,-2.968477
"País Vasco","Araba/Álava","Añana",142,42.80235,-2.982607
"País Vasco","Araba/Álava","Samaniego",290,42.56983,-2.680185
"País Vasco","Araba/Álava","San Millán/Donemiliaga",720,42.87472,-2.376111
"País Vasco","Araba/Álava","Urkabustaiz",1462,42.97194,-2.922222
"País Vasco","Araba/Álava","Valdegovía/Gaubea",1072,42.85,-3.1
"País Vasco","Araba/Álava","Harana/Valle de Arana",214,42.75673,-2.321858
"País Vasco","Araba/Álava","Villabuena de Álava/Eskuernaga",290,42.54872,-2.665456
"País Vasco","Araba/Álava","Vitoria-Gasteiz",257968,42.84641,-2.667893
"País Vasco","Araba/Álava","Yécora/Iekora",265,42.5693,-2.470064
"País Vasco","Araba/Álava","Zalduondo",194,42.88563,-2.347254
"País Vasco","Araba/Álava","Zambrana",442,42.65998,-2.879353
"País Vasco","Araba/Álava","Zuia",2372,42.98167,-2.844
"País Vasco","Araba/Álava","Iruña Oka/Iruña de Oca",3625,42.81917,-2.807778
"País Vasco","Araba/Álava","Lantarón",926,42.75667,-2.987556
"Castilla La Mancha","Albacete","Abengibre",759,39.20999,-1.544182
"Castilla La Mancha","Albacete","Alatoz",497,39.09464,-1.361155
"Castilla La Mancha","Albacete","Albacete",174137,38.99765,-1.86007
"Castilla La Mancha","Albacete","Albatana",663,38.56977,-1.524207
"Castilla La Mancha","Albacete","Alborea",676,39.27951,-1.39587
"Castilla La Mancha","Albacete","Alcadozo",641,38.64877,-1.981464
"Castilla La Mancha","Albacete","Alcalá del Júcar",1117,39.19346,-1.429671
"Castilla La Mancha","Albacete","Alcaraz",1304,38.66966,-2.492647
"Castilla La Mancha","Albacete","Almansa",24281,38.86941,-1.097517
"Castilla La Mancha","Albacete","Alpera",2260,38.95939,-1.231247
"Castilla La Mancha","Albacete","Ayna",608,38.55318,-2.070846
"Castilla La Mancha","Albacete","Balazote",2379,38.88408,-2.150826
"Castilla La Mancha","Albacete","Balsa de Ves",124,39.26442,-1.195344
"Castilla La Mancha","Albacete","El Ballestero",413,38.84107,-2.455432
"Castilla La Mancha","Albacete","Barrax",1864,39.04573,-2.200169
"Castilla La Mancha","Albacete","Bienservida",552,38.51517,-2.611526
"Castilla La Mancha","Albacete","Bogarra",748,38.58138,-2.214221
"Castilla La Mancha","Albacete","Bonete",970,38.8693,-1.348517
"Castilla La Mancha","Albacete","El Bonillo",2624,38.95073,-2.539598
"Castilla La Mancha","Albacete","Carcelén",487,39.10189,-1.308891
"Castilla La Mancha","Albacete","Casas de Juan Núñez",1361,39.10187,-1.557571
"Castilla La Mancha","Albacete","Casas de Lázaro",311,38.77105,-2.241862
"Castilla La Mancha","Albacete","Casas de Ves",548,39.2584,-1.335103
"Castilla La Mancha","Albacete","Casas-Ibáñez",4591,39.28518,-1.47113
"Castilla La Mancha","Albacete","Caudete",10249,38.70274,-0.9915481
"Castilla La Mancha","Albacete","Cenizate",1160,39.3043,-1.661456
